img r3-cs-avg r3-cs-std r3-h-avg r3-h-std r3-l-avg r3-l-std r3-shsl-avg r3-shsl-std r3-shsv-avg r3-shsv-std r3-v-avg r3-v-std
nirp_carlevariis_va_pc_2006bh7853 43.656602 25.486051 64.532722 56.309058 109.960902 67.130521 103.678647 71.705022 108.825323 66.796265 131.807128 69.264057
nirp_carlevariis_va_pc_2006bh7854 42.122342 48.252432 85.781102 45.045508 50.702606 38.390383 126.333423 77.296316 153.614675 68.655803 71.690237 58.547813
nirp_carlevariis_va_pc_2006bh7855 26.908745 19.777630 88.919154 39.988413 63.850907 61.942992 97.215179 60.076913 117.298755 56.144431 77.345583 68.346723
nirp_carlevariis_va_pc_2006bh7856 19.196910 7.199623 124.323384 26.206407 23.662367 19.803663 150.082286 74.973830 177.687806 61.911539 33.215419 22.556459
nirp_carlevariis_va_pc_2006bh7857 36.718367 29.356065 90.225577 50.981099 59.134433 56.888289 128.168529 68.362694 150.138548 62.243780 77.479212 64.805642
nirp_carlevariis_va_pc_2007bn4167 124.786861 51.877170 16.169321 9.929780 91.097253 56.805109 241.065517 24.448865 224.892378 37.779023 153.340716 80.690170
nirp_carlevariis_va_pc_2007bn4168 135.994427 65.590461 22.883925 7.704615 85.928989 38.283033 210.812195 66.667750 219.667566 54.862036 153.782442 65.313379
nirp_carlevariis_va_pc_2007bn4169 108.887188 45.843088 16.428601 6.651747 63.919899 34.774818 237.835545 32.249103 241.381871 25.827898 118.207111 55.617329
nirp_carlevariis_va_pc_2007bn4171 24.723227 35.201616 29.742188 19.780492 31.739273 37.606434 133.635036 91.949714 152.996575 82.848174 44.057602 53.408888
nirp_carlevariis_va_pc_2007bn4172 128.192248 73.389717 21.081074 8.177474 101.319368 51.608287 186.955088 69.179699 191.041776 62.180825 165.385183 81.750474
nirp_carlevariis_va_pc_2007bn4173 55.335697 52.778647 24.944171 12.807082 44.930619 37.525035 183.837650 76.748758 200.687019 63.911464 72.518329 61.237185
nirp_carlevariis_va_pc_2007bn4174 64.190356 28.287563 15.091437 7.586102 37.523750 21.417199 232.179372 43.702217 239.991171 34.884322 69.456017 34.630560
nirp_carlevariis_va_pc_2007bn4175 60.310954 23.978022 6.675330 6.318544 34.467437 17.911459 237.164976 37.186473 243.771008 26.464482 64.450030 28.968689
nirp_carlevariis_va_pc_2007bn4176 117.394216 41.619775 20.105333 6.859598 79.217828 47.191157 236.948327 32.281490 230.829421 41.861118 137.765048 61.308275
nirp_carlevariis_va_pc_2007bn4177 178.600610 68.073311 15.811848 6.047123 91.564038 34.237413 248.341796 26.662390 250.017404 23.609920 180.654137 67.978465
nirp_carlevariis_va_pc_2007bn4178 90.309013 27.154015 16.495526 6.664768 49.259833 18.429234 240.732721 32.581785 246.096949 24.456306 94.229268 31.046760
nirp_carlevariis_va_pc_2007bn4179 7.554907 4.289416 28.107150 10.407547 9.096166 6.988795 146.392266 79.015163 172.791925 68.623991 12.854060 8.825859
nirp_carlevariis_va_pc_2007bn4180 28.521459 30.159981 24.178592 14.077272 34.837102 30.129539 129.019587 80.588934 154.673905 71.056397 49.071191 42.471548
nirp_carlevariis_va_pc_2007bn4181 84.435019 37.050680 7.392994 8.170307 49.939622 31.361144 236.810258 40.028488 240.529621 35.040438 91.992856 47.424567
nirp_carlevariis_va_pc_2007bn4182 39.174669 27.731549 19.561418 10.842941 34.289694 29.539321 180.203005 70.004302 202.002584 57.127166 53.811989 41.956343
nirp_carlevariis_va_pc_2007bn4183 229.667810 47.142304 1.132930 1.910495 115.432406 23.726262 254.918743 2.205131 254.806127 2.537862 229.847899 47.162423
nirp_carlevariis_va_pc_2007bn4184 67.696352 38.231473 17.543627 7.541566 62.449402 42.058838 158.666757 60.132076 185.264948 53.819735 96.274983 59.901136
nirp_carlevariis_va_pc_2007bn4185 85.612135 104.831134 52.015431 49.418936 65.408240 50.530345 131.665318 103.748337 143.499326 90.613538 108.156944 101.090723
nirp_carlevariis_va_pc_2007bn4186 205.886314 61.996674 4.838649 9.080593 123.040533 36.798606 247.649073 28.328345 234.115581 44.586818 225.678262 52.051670
nirp_carlevariis_va_pc_2007bn4187 209.970952 62.839650 9.611541 10.214537 115.138918 34.144705 248.537792 28.428792 242.570001 34.581222 219.802234 59.438969
